下列选项中哪项不属于执业兽医师资格考试审核条件？,A、具有兽医相关专业中专学历，连续从事兽医工作满2年的, B、具有兽医师以上技术职称," C、取得动物疫病防治员中级以上职业资格证书以后,并连续从事兽医工作5年以上",D、具有兽医相关专业中专学历，连续从事兽医工作满5年的  ,A、具有兽医相关专业中专学历，连续从事兽医工作满2年
"兽药房专业技术人员调剂处方时必须做到“四查十对”,下列选项哪项不是所查内容?", A、查药品  ,B、查配伍禁忌 ,C、查价格, D、查用药合理性,C、查价格
下列选项中哪项不属于实质性器官？ ,A、肝 , B、脾, C、肺 , D、胃 , D、胃 
下列选项中不是组成内脏的系统是？,A、消化系统, B、内分泌系统  ,C、呼吸系统,D、生殖系统,B、内分泌系统
下列选项中哪项不属于前肢的主要肌肉？,A、 斜方肌,B、半腱肌 ,C、菱形肌,D、.背阔肌, B、半腱肌
作用于肩关节的伸肌是？,A、冈上肌, B、三角肌,C、臂三头肌,D、背阔肌  , B、半腱肌
胰位于十二指肠的弯曲中，其内分泌部又名胰岛，下列选项中不是胰岛分泌的是？,A、胰岛素,B、胰液 ,C、胰高血糖素,D、胰岛,B、胰液
反刍动物的胃部在消化食物过程中被称为“中转站”的是?,A、瘤胃, B、瓣胃, C、网胃,D、皱胃, C、网胃
小肠的消化在整个消化过程中占有极其重要的地位，下列选项中不作用于小肠内的化学性消化的是？, A、胰液,B、胆汁, C、胃液, D、小肠液, C、胃液
下列选项中哪项不是小肠运动的基本形式？, A、钟摆运动,B、集团蠕动,C、蠕动和逆蠕动, D、分节运动,B、集团蠕动 
吸收功能的好坏将直接影响机体的生命活动，下列哪项是主要的吸收器官？, A、小肠, B、大肠 ,C、食管,D、胃,  A、小肠
吸收是机体实现与周围环境进行物质交换过程的重要环节，主要吸收水分和盐类的部位是？,A、小肠, B、大肠,C、食管,D、胃, B、大肠
"主要作用是调节血钙浓度，促进骨钙溶解,升高血钙的激素是?",Ａ、甲状腺, B、肾上腺 ,C、甲状旁腺,  D、胰岛,C、甲状旁腺
被称为“生命中枢”的是？, A、脊髓 ,B、延髓 ,C、脑桥,D、小脑 ,B、延髓
主要完成与条件反射有关的高级神经活动，主宰机体一切正常生命活动的最高级中枢是？,A、大脑皮层, B、延髓,C、脊髓,D、小脑,A、大脑皮层
下列选项中哪项不属于非条件反射？,A、饲料入口引起唾液分泌反射,B、机械刺激角膜引起的角膜反射,C、排粪排尿反射,D、定时外出运动、吃食,D、定时外出运动、吃食
禽类的消化系统中主要起贮存、湿润和软化饲料作用的器官是？,A、食管,B、嗉囊,C、胃 ,D、肌胃,B、嗉囊
中药称的“鸡内金”存在于下列鸡消化系统的哪个器官？,A、食管, B、嗉囊, C、腺胃,D、肌胃,D、肌胃
“位于泄殖腔肛道背侧，有开口向下与肛道相通，其大小随年龄有显著变化，性成熟后逐渐消失。”根据以上描述可以判断出是？, A、胸腺, B、回肠淋巴集结,C、法氏囊,D、盲肠扁桃体,C、法氏囊
牛、羊的发情周期平均为？,A、15天 ,B、17天, C、21天, D、27天, C、21天
属于季节性发情的动物是？, A、牛, B、猪,C、兔 ,D、山羊,D、山羊
属于常年发情的动物是？,A、牛,B、驴 ,C、狗, D、山羊 ,A、牛
在畜牧生产上，被广泛用于催情和超数排卵的是？,A、雌激素, B、孕酮,C、胎盘催乳素, D、 孕马血清促性腺激素（PMSG）, D、 孕马血清促性腺激素（PMSG）
“肉眼可见心外膜下，心室乳头肌和肉柱的静脉血管周围有灰黄色条纹或斑纹，分布于色彩正常的心肌之间，呈红黄相间的虎斑样花纹”。根据以上描述可初步判断出心脏发生的病理变化为？,A、细胞颗粒变性 , B、脂肪变性,C、变质性心肌炎, D、瘀血,B、脂肪变性
“肉眼可见心肌灰暗色（煮肉样），质地松弛，局部呈灰黄或灰白色斑块或条纹，分布在黄红色背景上，沿心冠横切时，灰黄色条纹在心肌内呈环状分布，如虎皮样花纹，称‘虎斑心’。”根据以上描述可初步判断心脏发生的病理变化为？, A、破裂性出血, B、脂肪变性, C、变质性心肌炎 ,D、瘀血, C、变质性心肌炎 
“常见于一些器官的网状纤维、小血管壁和细胞之间，该物质可被碘染成赤褐色，再加1%硫酸呈蓝色。”根据以上描述可以判断出其病理变化为？ ,  A、细胞颗粒变性, B、脂肪变性,C、纤维素样变性,D、淀粉样变性,D、淀粉样变性
“剖检时，动物全身骨骼、牙齿、内脏器官红棕色或棕褐色的色素沉着（猪称“乌骨猪”），但骨膜、软骨、韧带不着色。以上描述是哪种病变的特征？, A、坏疽,  B、卟啉症, C、漏出性出血,D、炭末沉着, B、卟啉症
畜禽肺炎的一种最基本的形式是？,A、支气管肺炎,B、纤维素性肺炎,C、浆液性肺炎  ,D、变质性心肌炎,A、支气管肺炎 
“心包炎时，覆盖在心外膜的纤维素性假膜，常由于心脏的搏动而呈绒毛状，故称‘绒毛心’。”上述属于哪种炎症的病理特征？, A、纤维素性粘膜炎,B、纤维素性浆膜炎, C、浆液性粘膜炎, D、变质性心肌炎,B、纤维素性浆膜炎
供细菌学检查的病料，可放入哪种化学药品中保存？, A、30%甘油生理盐水,B、10%甲醛溶液, C、95%酒精溶液,D、10%甲醛溶液, A、30%甘油生理盐水
